round,player_hand,dealer_hand,actions,reward
647,"2,10,5","10,9",2,-1
648,"8,9,10","6,10,10",1,-1
649,"11,3,3","9,4,10",2,1
650,"5,10,7","10,10",2,-1
651,"10,5,10","11,11,3,10,2",2,-1
652,"9,11","4,8,10",0,1
653,"10,6,10","5,3,6,9",1,-1
654,"10,6,4","10,8",2,1
655,"10,4,4","10,4,2,6","3,2",1
655,"10,11","10,4,2,6","3,2",1
656,"10,7,10","10,10","3,2",-1
656,"10,11","10,10","3,2",1
657,"5,10,11","9,10",2,-1
658,"9,10,3","9,2,10",1,-1
659,"9,7,10","10,8","3,2",-1
659,"9,9","10,8","3,2",0
660,"10,10","4,10,10",0,1
661,"9,2,3","2,10,6",2,-1
662,"11,2,10","8,4,8",2,-1
663,"10,2,9","10,4,10",2,1
664,"10,6,10","10,10",2,-1
665,"8,10,5","10,7",2,-1
666,"9,10,11,10","10,2,6","1,1",-1
667,"11,10,2","10,4,5","1,0",-1
668,"7,10,10","10,10",2,-1
669,"10,5,10","4,7,5,6",1,-1
670,"10,10","5,5,8",0,1
671,"6,11,10","10,8",2,-1
672,"3,8,4","4,10,5",2,-1
673,"7,8,2","8,3,9","3,2",-1
