round,player_hand,dealer_hand,actions,result
385,"10,5,10","2,7,8",1,-1
386,"2,3","11,10",,-1
387,"8,11","3,8,11,6",0,1
388,"2,7,10","9,7,4",2,-1
389,"10,4,10","10,3,7",2,-1
390,"10,7,10","6,5,10",1,-1
391,"8,4,9","7,3,6,11",2,1
392,"3,5,5","4,2,10,9","3,2",0
392,"3,10","4,2,10,9","3,2",0
393,"10,6,4","3,10,6","1,0",1
394,"10,6,4","5,11,2","1,0",1
395,"10,10","10,10",0,0
396,"6,2,4","8,4,9",2,-1
397,"7,2","10,6,9","3,0",0
397,"7,11","10,6,9","3,0",0
398,"9,10","10,5,4",0,0
399,"8,2,10","3,11,9,6",2,1
400,"10,10","7,7,5",0,1
401,"4,7,10","4,6,9",2,1
402,"2,11","11,10",,-1
403,"8,2,8","10,6,10",2,0
404,"10,6,10","10,8",2,-1
405,"11,4,8,4,2","5,4,10","1,1,1,0",0
406,"10,10","10,2,6",0,1
407,"9,7","10,10",0,-1
408,"10,4,10","10,10",2,-1
409,"8,6,6","5,10,10","1,0",0
410,"11,5","10,9",0,-1
411,"9,10","6,8,2,2",0,1
412,"10,11","8,8,10",0,1
413,"7,6","10,11",,-1
414,"3,5,10","2,3,10,10",2,0
415,"11,5,10,10","8,10","1,1",-1
416,"3,11,5","6,10,2","1,0",1
417,"2,6,10","3,2,10,11,9","3,2",0
417,"2,4","3,2,10,11,9","3,2",0
418,"2,3,7","7,10","1,0",-1
419,"11,5,11","10,7",2,0
420,"4,8,5","11,9","3,2",-1
420,"4,3","11,9","3,2",-1
421,"6,5,3","4,6,4,7",2,-1
422,"2,5","7,2,10",0,-1
423,"10,11","4,10,11,4",0,1
424,"10,2,4","10,10",2,-1
425,"3,9,10","2,10,2,6",1,-1
426,"10,5","8,4,10",0,0
427,"3,4,10","4,6,3,5",2,-1
428,"5,10,8","10,7",2,-1
429,"5,10","8,10",0,-1
430,"5,10","8,8,2",0,-1
431,"2,10,10","3,10,5",1,-1
432,"10,10","8,7,10",0,0
433,"3,10,6","10,4,11,11,3",2,0
434,"4,8,5","10,8",2,-1
435,"4,7,2","3,10,10",2,0
436,"10,11","9,6,11,8",0,1
437,"4,9","10,11",,-1
438,"9,10","10,9",0,0
439,"10,7,10","6,3,5,7",1,-1
440,"6,8,9","3,9,6",1,-1
441,"9,7,9","5,10,10",1,-1
442,"3,10,3","9,10",2,-1
443,"8,9,8","10,10",2,-1
444,"4,2,11","10,5,7","1,0",0
445,"5,6,6","3,10,2,3",2,-1
446,"6,5,4","3,4,5,11,6",2,-1
447,"3,10,5,9","4,10,6","1,1",-1
448,"2,5,10","11,4,11,3","1,0",-1
449,"8,2,4","3,8,10","3,2",-1
449,"8,11","3,8,10","3,2",-1
450,"5,7,8","10,5,8",2,0
451,"5,10,3,7","6,4,10","3,1,1",-1
451,"5,8","6,4,10","3,1,1",-1
452,"10,10","10,6,10",0,0
453,"10,10","4,8,10",0,0
454,"2,10,9","10,7",2,1
455,"10,2,6","10,10",2,-1
456,"10,9","11,2,10,3,10",0,0
457,"8,5,10","10,7",2,-1
458,"4,5,10","7,10",2,1
459,"9,8,10","8,10",1,-1
460,"9,10,10","10,6,4",1,-1
461,"2,10,3","10,9",2,-1
462,"10,3,10","7,3,9",2,-1
463,"10,10","4,2,5,11,10",0,0
464,"9,2,2","6,10,7",2,0
465,"9,10,4","10,2,5",1,-1
466,"7,11,10,9","6,7,6","1,1",-1
467,"10,10","7,11",0,1
468,"8,10,10","9,10",1,-1
469,"11,10","10,10",0,1
470,"5,7,10","3,10,5",1,-1
471,"11,8,9,5","6,3,10","1,1",-1
472,"6,11,10,4","4,10,7","1,1",0
473,"10,2,9","4,7,8",2,1
474,"7,8,8","4,10,8",1,-1
475,"10,9,10","9,8",1,-1
476,"3,10,10","7,6,11,11,7",2,-1
477,"10,10","2,11,5",0,1
478,"10,7,3","8,7,3","1,0",1
479,"10,10","10,2,6",0,1
480,"11,10","5,9,11,4",0,1
481,"3,5,10","7,10",2,1
482,"10,3","11,10",,-1
483,"8,11","2,9,10","3,0",-1
483,"8,10","2,9,10","3,0",-1
484,"10,3,11","10,7",2,-1
485,"10,10","5,6,9",0,0
486,"7,3,4","10,10",2,-1
487,"4,3,2","3,9,10",2,0
488,"8,10,9","7,2,8",1,-1
489,"10,3,7","2,8,8","1,0",1
490,"11,5","10,7",0,-1
491,"10,9","9,10",0,0
492,"2,10,6","7,10",2,1
493,"10,10","5,6,8",0,1
494,"3,5,10","10,10","1,0",-1
495,"3,10,3","10,9",2,-1
496,"10,3,2","8,5,10",2,0
497,"8,11","11,3,6",0,-1
498,"7,2","10,10",0,-1
499,"10,6,5","6,11",1,1
500,"10,6,10","10,8",2,-1
501,"5,10,10","10,8",2,-1
502,"5,8,9","10,7",2,-1
503,"11,10","7,4,10",0,0
504,"7,10","9,5,10",0,0
505,"10,5,10","10,3,10",2,-1
506,"10,10","10,8",0,1
507,"10,9,2","7,11",1,1
508,"10,10","10,4,9",0,0
509,"11,8","3,9,10",0,0
510,"2,3,10,7","6,9,2","3,1,1",-1
510,"2,10","6,9,2","3,1,1",-1
511,"10,5,8","4,5,4,10",1,-1
512,"8,7,4","2,8,11","3,1,0",-1
512,"8,7","2,8,11","3,1,0",-1
513,"7,11,7,10","4,2,6,9","1,1",-1
514,"6,9,2,10","5,5,10","1,1",-1
515,"11,2,10","6,11",2,-1
516,"10,7,6","4,10,10",1,-1
517,"10,10","4,10,10",0,0
518,"9,4,10","2,3,10,10",1,-1
